number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_gamma,param_hop_length,param_lr,param_margin,param_n_fft
0,COMPLETE,17.50730053583781,2026-01-27T13:10:31.099938,2026-01-27T13:18:17.029023,465.929085,"{""best_epoch"": 33, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-27/13-10-31""}",8,39,18.054052923522484,512,0.0010401663679887319,0.1467983561008608,512
1,COMPLETE,15.994008015427324,2026-01-27T13:18:17.056773,2026-01-27T13:33:37.054571,919.997798,"{""best_epoch"": 63, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-27/13-18-17""}",4,68,39.28305037696741,512,0.0002049268011541737,0.2574269294896714,1024
2,PRUNED,57.455919138590495,2026-01-27T13:33:37.076131,2026-01-27T13:34:33.956654,56.880523,{},8,123,56.59624983700849,320,0.000747599299995651,0.11393512381599932,512
3,PRUNED,20.009841791788737,2026-01-27T13:34:33.967003,2026-01-27T13:38:58.454270,264.487267,{},16,33,17.18604369911549,256,0.0005595074635794797,0.2485530730333811,512
4,PRUNED,47.03670806884766,2026-01-27T13:38:58.464849,2026-01-27T13:39:37.886431,39.421582,{},16,189,55.472465245968806,512,0.002074566765675252,0.3684482051282947,512
5,PRUNED,25.103317642211913,2026-01-27T13:39:37.896971,2026-01-27T13:40:40.297461,62.40049,{},16,63,21.448021639920746,256,0.00040375061884407573,0.2628088249474746,512
6,PRUNED,36.07542165120443,2026-01-27T13:40:40.309466,2026-01-27T13:41:46.452327,66.142861,{},8,157,33.71683439056206,256,0.001732053535845956,0.12221339552022711,1024
7,PRUNED,23.100626500447593,2026-01-27T13:41:46.461056,2026-01-27T13:44:19.137408,152.676352,{},16,179,20.5174955860303,320,0.001211130719559933,0.2416644775485848,1024
8,COMPLETE,15.468957564897007,2026-01-27T13:44:19.149761,2026-01-27T13:47:52.992115,213.842354,"{""best_epoch"": 13, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-27/13-44-19""}",4,16,30.761798390690032,512,0.00015251209898002935,0.2909231233791342,1024
9,PRUNED,49.80538813273112,2026-01-27T13:47:53.003760,2026-01-27T13:48:45.149029,52.145269,{},16,187,59.722856685696144,320,0.00018789279685460533,0.34243611386932515,512
10,PRUNED,70.72032582318342,2026-01-27T13:48:45.159273,2026-01-27T13:49:35.344387,50.185114,{},4,11,102.18779889132472,512,0.00010237384946561919,0.317422795875523,1024
11,PRUNED,28.239507692831534,2026-01-27T13:49:35.353207,2026-01-27T13:50:25.894635,50.541428,{},4,82,33.55076297769581,512,0.00022614071262206653,0.18422828627191126,1024
12,PRUNED,27.7525375507496,2026-01-27T13:50:25.904409,2026-01-27T13:51:15.319072,49.414663,{},4,106,32.85501323550124,512,0.0038858995026663148,0.29581908062592716,1024
13,COMPLETE,11.796119393021971,2026-01-27T13:51:15.328696,2026-01-27T14:07:04.125615,948.796919,"{""best_epoch"": 50, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-27/13-51-15""}",4,69,27.37929681169593,512,0.00011070009518980705,0.20429002914897487,1024
14,COMPLETE,15.090971840752495,2026-01-27T14:07:04.138062,2026-01-27T14:10:04.229495,180.091433,"{""best_epoch"": 5, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-27/14-07-04""}",4,11,25.528197487115964,512,0.00010118333371677386,0.1859316938669776,1024
15,COMPLETE,10.630529661973318,2026-01-27T14:10:04.265926,2026-01-27T14:23:09.518727,785.252801,"{""best_epoch"": 48, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-27/14-10-04""}",4,50,24.910652375106604,512,0.00010527493992239139,0.17402892634963363,1024
16,COMPLETE,8.722914427518845,2026-01-27T14:23:09.532500,2026-01-27T14:45:22.898162,1333.365662,"{""best_epoch"": 79, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-27/14-23-09""}",4,96,23.91190850243428,512,0.0003531468803179401,0.20249850711866357,1024
17,PRUNED,101.75980765731246,2026-01-27T14:45:22.914440,2026-01-27T14:45:56.590007,33.675567,{},4,130,122.08984499561723,512,0.00035033172578946374,0.1582471935612927,1024
18,PRUNED,32.63820266723633,2026-01-27T14:45:56.601210,2026-01-27T14:47:07.394356,70.793146,{},4,97,44.18402384381203,256,0.0003908496101758004,0.2244440595278662,1024
19,PRUNED,19.366389407051933,2026-01-27T14:47:07.408560,2026-01-27T14:47:55.626390,48.21783,{},4,49,23.37798976850433,320,0.00028341121100037815,0.15612980968391243,1024
20,PRUNED,40.60160992940267,2026-01-27T14:47:55.634634,2026-01-27T14:48:31.917637,36.283003,{},8,136,41.04812978812821,512,0.0005597545766899809,0.208203759101667,1024
21,PRUNED,22.905350102318657,2026-01-27T14:48:31.925421,2026-01-27T14:49:08.465943,36.540522,{},4,83,28.026076679327648,512,0.00014105141294175637,0.195660181388201,1024
22,COMPLETE,11.015032576190102,2026-01-27T14:49:08.478357,2026-01-27T15:00:18.105890,669.627533,"{""best_epoch"": 50, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-27/14-49-08""}",4,59,25.491890686912246,512,0.00013365539653881287,0.2182310933631114,1024
23,COMPLETE,9.192298710346222,2026-01-27T15:00:18.116317,2026-01-27T15:11:22.512573,664.396256,"{""best_epoch"": 54, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-27/15-00-18""}",4,55,19.9700757359004,512,0.00015310637667556663,0.17233929803763073,1024
