number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_eps,param_hop_length,param_lr,param_mel,param_n_fft,param_norm_p
0,COMPLETE,17.23845487833023,2026-01-29T14:54:58.178333,2026-01-29T14:57:15.628083,137.44975,"{""best_epoch"": 59, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-01-29/14-54-58""}",16,67,1.0129197956845722e-05,128,0.00020511104188433984,OFF,2048,3.5985284373248057
1,COMPLETE,17.882943813006083,2026-01-29T14:57:15.640918,2026-01-29T15:07:33.828884,618.187966,"{""best_epoch"": 781, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-01-29/14-57-15""}",16,788,3.725393839578879e-06,320,0.000816845589476017,OFF,2048,1.5990213464750793
2,PRUNED,26.27289897526304,2026-01-29T15:07:33.845826,2026-01-29T15:07:47.135447,13.289621,{},8,266,3.618723330959616e-07,128,0.006586289317583112,OFF,1024,2.9875668530619457
3,COMPLETE,7.428952497243881,2026-01-29T15:07:47.144417,2026-01-29T15:09:30.842639,103.698222,"{""best_epoch"": 141, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-01-29/15-07-47""}",48,363,5.169879442298538e-06,128,0.004544383960336014,ON,1024,1.8428035290621423
4,COMPLETE,6.50797563791275,2026-01-29T15:09:30.857852,2026-01-29T15:11:06.399673,95.541821,"{""best_epoch"": 334, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-29/15-09-30""}",64,337,3.588488911386254e-07,128,0.0017643967683381545,ON,1024,1.1906750508580708
5,PRUNED,20.98694250981013,2026-01-29T15:11:06.414910,2026-01-29T15:11:14.977739,8.562829,{},16,640,3.4902252478382486e-06,128,0.0001155735281626988,OFF,512,1.94306794322898
6,COMPLETE,6.286719843745232,2026-01-29T15:11:14.985199,2026-01-29T15:29:12.244035,1077.258836,"{""best_epoch"": 780, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-29/15-11-15""}",64,810,3.8906070987056304e-07,160,0.0011986281799901185,OFF,2048,3.6882738997704796
7,PRUNED,28.78188790678978,2026-01-29T15:29:12.265236,2026-01-29T15:29:19.976521,7.711285,{},16,973,1.8151456496577548e-07,160,0.0005336533066379613,OFF,512,3.8873418848263337
8,PRUNED,18.747127555310726,2026-01-29T15:29:19.984791,2026-01-29T15:29:28.908567,8.923776,{},32,245,6.901057779813303e-07,160,0.003336101309469784,ON,1024,3.1846490458355787
9,PRUNED,13.322301828861237,2026-01-29T15:29:28.917327,2026-01-29T15:29:53.272061,24.354734,{},48,393,4.8708496102002865e-08,128,0.002409214543666477,OFF,2048,3.8101899662102037
10,COMPLETE,2.6458409428596497,2026-01-29T15:29:53.280226,2026-01-29T15:31:32.542844,99.262618,"{""best_epoch"": 683, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-29/15-29-53""}",64,970,0.0002680906498213129,512,0.0005338943774556118,ON,2048,2.528097245899107
11,COMPLETE,2.137509874999523,2026-01-29T15:31:32.566489,2026-01-29T15:33:14.917111,102.350622,"{""best_epoch"": 961, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-29/15-31-32""}",64,996,0.0005777118255328356,512,0.00032810037077763495,ON,2048,2.4197105732823077
12,COMPLETE,2.193666201084852,2026-01-29T15:33:14.942156,2026-01-29T15:34:54.144841,99.202685,"{""best_epoch"": 953, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-29/15-33-14""}",64,968,0.0007068979731794238,512,0.00036320904652239295,ON,2048,2.5544774969929556
13,COMPLETE,2.1447768583893776,2026-01-29T15:34:54.161611,2026-01-29T15:36:16.217088,82.055477,"{""best_epoch"": 368, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-29/15-34-54""}",64,795,0.0008925635600778391,512,0.00023321334933528871,ON,2048,2.4948044703451004
14,PRUNED,3.6419161707162857,2026-01-29T15:36:16.231895,2026-01-29T15:37:16.787542,60.555647,{},64,650,7.431306793009187e-05,256,0.00019230842184480567,ON,2048,2.9340210558042568
15,PRUNED,13.092339349538088,2026-01-29T15:37:16.797845,2026-01-29T15:37:24.840516,8.042671,{},8,802,5.078856659327226e-05,512,0.0002913198150617853,ON,2048,2.1999420981511446
16,PRUNED,6.244401652365923,2026-01-29T15:37:24.848308,2026-01-29T15:37:37.371687,12.523379,{},32,639,0.0009851159436592729,512,0.00010749927072542353,ON,512,2.2893732642611995
17,PRUNED,3.596622057259083,2026-01-29T15:37:37.380565,2026-01-29T15:38:15.688143,38.307578,{},64,842,5.584705486039874e-05,512,0.0001966598783473579,ON,2048,2.7308475216690336
18,PRUNED,3.181922648102045,2026-01-29T15:38:15.699086,2026-01-29T15:39:16.491140,60.792054,{},64,508,0.0001790106423557046,256,0.0007259457479364269,ON,2048,3.3122774118868232
19,PRUNED,4.018175080418587,2026-01-29T15:39:16.501674,2026-01-29T15:40:06.365599,49.863925,{},64,898,3.074136826140698e-05,320,0.00033739662416512953,ON,512,1.0069632701069395
20,PRUNED,10.175326491892339,2026-01-29T15:40:06.376871,2026-01-29T15:40:14.398421,8.02155,{},8,726,0.00028759831870939787,512,0.0004582142365883507,ON,2048,1.6040908627686483
21,COMPLETE,2.096087124198675,2026-01-29T15:40:14.406261,2026-01-29T15:41:49.959161,95.5529,"{""best_epoch"": 652, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-29/15-40-14""}",64,914,0.0009574738509612252,512,0.0003327197233379668,ON,2048,2.4796495617455085
22,PRUNED,2.589390344917774,2026-01-29T15:41:49.981713,2026-01-29T15:42:31.003084,41.021371,{},64,904,0.0005634639662887933,512,0.00024773608837786154,ON,2048,2.2188480257702903
23,PRUNED,3.327004559338093,2026-01-29T15:42:31.014143,2026-01-29T15:42:44.408320,13.394177,{},64,543,0.00014839116657581106,512,0.00013746619359920724,ON,2048,2.6884925009209413
24,PRUNED,12.018711928278208,2026-01-29T15:42:44.416652,2026-01-29T15:42:52.072845,7.656193,{},32,719,1.5847221774417928e-05,512,0.00015597959214563235,ON,2048,2.070810423170959
25,PRUNED,10.605967089533806,2026-01-29T15:42:52.081277,2026-01-29T15:42:59.698489,7.617212,{},64,891,1.18023802175187e-08,512,0.0012233817492508729,ON,2048,2.3286444560864377
26,PRUNED,4.085827773809433,2026-01-29T15:42:59.706469,2026-01-29T15:43:17.478366,17.771897,{},48,994,0.000356444875817487,320,0.00039162485434482533,ON,2048,2.8699096324103284
27,COMPLETE,2.1904912628233433,2026-01-29T15:43:17.486600,2026-01-29T15:44:32.689925,75.203325,"{""best_epoch"": 314, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-29/15-43-17""}",64,723,0.0009945593062658286,512,0.000683572191963327,ON,2048,1.7383087676335207
28,PRUNED,3.8314223140478134,2026-01-29T15:44:32.704950,2026-01-29T15:44:40.326759,7.621809,{},64,891,9.796940815692693e-05,256,0.0002689662453705514,ON,1024,2.4544567020656256
29,PRUNED,5.1252589374780655,2026-01-29T15:44:40.336574,2026-01-29T15:44:46.036884,5.70031,{},64,566,1.755895057203573e-05,512,0.00018698432873195527,ON,512,3.1463965270204324
30,PRUNED,9.484194793676336,2026-01-29T15:44:46.044938,2026-01-29T15:44:54.041312,7.996374,{},8,70,0.00044130372579665226,512,0.00023827187214771602,ON,2048,3.4946954372700874
31,COMPLETE,2.1770306825637817,2026-01-29T15:44:54.050234,2026-01-29T15:46:10.258408,76.208174,"{""best_epoch"": 724, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-29/15-44-54""}",64,733,0.0009289727252696958,512,0.0006316777394321944,ON,2048,1.72720527272783
32,PRUNED,3.688893347978592,2026-01-29T15:46:10.272990,2026-01-29T15:46:17.923316,7.650326,{},64,758,0.00015521396687117995,512,0.0009408449830278383,ON,2048,1.3111831796362887
33,PRUNED,8.55161095658938,2026-01-29T15:46:17.932480,2026-01-29T15:46:27.126936,9.194456,{},16,833,0.0005398976968777237,320,0.0005970622244361708,ON,2048,2.024638534557446
34,PRUNED,3.7059070467948914,2026-01-29T15:46:27.135820,2026-01-29T15:46:35.856162,8.720342,{},64,925,0.00022294897130146877,512,0.00039541794899295064,OFF,2048,1.4557904784986628
35,PRUNED,3.7101303339004517,2026-01-29T15:46:35.864444,2026-01-29T15:46:42.111325,6.246881,{},48,842,0.00098908063810824,512,0.0008572530749593077,ON,1024,2.77088325796313
36,PRUNED,3.1532616913318634,2026-01-29T15:46:42.119287,2026-01-29T15:46:49.794701,7.675414,{},64,770,0.0003910427843806139,512,0.00918478268895291,ON,2048,1.7915838905859667
37,PRUNED,23.57263557712237,2026-01-29T15:46:49.803291,2026-01-29T15:47:09.689985,19.886694,{},16,675,1.1571880608753533e-06,160,0.001508565982505364,OFF,2048,2.398767793788879
38,PRUNED,5.505708411335945,2026-01-29T15:47:09.698349,2026-01-29T15:47:19.548273,9.849924,{},64,586,6.8077427411648445e-06,128,0.00048818086149976633,ON,1024,2.124210062844293
39,PRUNED,9.971902273595333,2026-01-29T15:47:19.555783,2026-01-29T15:47:33.451651,13.895868,{},32,930,0.0001007650727726767,256,0.0003061831404765736,OFF,2048,2.6099625066568883
40,PRUNED,6.555134728550911,2026-01-29T15:47:33.460094,2026-01-29T15:47:39.212084,5.75199,{},64,443,1.664895588314988e-06,512,0.0001383158204333024,ON,512,1.93857427749737
41,COMPLETE,2.1122403666377068,2026-01-29T15:47:39.221078,2026-01-29T15:48:54.191312,74.970234,"{""best_epoch"": 458, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-29/15-47-39""}",64,732,0.000976927738261241,512,0.0007159250752747305,ON,2048,1.756762652051251
42,PRUNED,3.0040948539972305,2026-01-29T15:48:54.206034,2026-01-29T15:49:01.834374,7.62834,{},64,856,0.000646523657472005,512,0.0006337437030349943,ON,2048,1.6429254429143287
43,PRUNED,3.293050080537796,2026-01-29T15:49:01.843283,2026-01-29T15:49:14.613944,12.770661,{},64,798,0.0003192032057611618,160,0.000421375150497287,ON,2048,1.4416254152143737
44,PRUNED,3.1094901263713837,2026-01-29T15:49:14.621564,2026-01-29T15:49:22.340646,7.719082,{},64,999,0.0005420776856455246,512,0.001018053262797387,ON,2048,1.8336142991180542
45,PRUNED,4.879545024037361,2026-01-29T15:49:22.349385,2026-01-29T15:49:46.038670,23.689285,{},48,676,0.00017129139232649807,128,0.0002332059859442876,OFF,2048,3.079970971530016
46,PRUNED,7.572232087453206,2026-01-29T15:49:46.046654,2026-01-29T15:49:53.835899,7.789245,{},16,950,0.0009685778459326202,512,0.001632361633629368,ON,2048,1.9193499196755466
47,PRUNED,14.466116902853052,2026-01-29T15:49:53.844721,2026-01-29T15:50:00.486036,6.641315,{},8,618,3.3670722304057374e-05,512,0.000534189728342218,ON,1024,2.456536615077471
48,PRUNED,8.486088991165161,2026-01-29T15:50:00.494209,2026-01-29T15:50:09.629621,9.135412,{},64,755,1.7174061827960107e-07,320,0.00076368532049628,ON,2048,1.5001401756263728
49,PRUNED,3.5553545504808426,2026-01-29T15:50:09.637495,2026-01-29T15:50:15.354319,5.716824,{},64,854,0.00026787216550579944,512,0.002134081797473771,ON,512,1.1193537310143056
50,PRUNED,9.731758158653975,2026-01-29T15:50:15.362792,2026-01-29T15:50:35.198632,19.83584,{},32,696,0.00011751528943438594,160,0.00035001716249984284,OFF,2048,2.8539951645657515
51,COMPLETE,2.1379950046539307,2026-01-29T15:50:35.207315,2026-01-29T15:51:51.536977,76.329662,"{""best_epoch"": 446, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-01-29/15-50-35""}",64,741,0.0007898533479476692,512,0.0007114235025085583,ON,2048,1.763499707955803
52,PRUNED,3.084105186164379,2026-01-29T15:51:51.553806,2026-01-29T15:51:59.247173,7.693367,{},64,801,0.00060180300834886,512,0.001113578409055611,ON,2048,1.688657322707031
53,PRUNED,3.174947015941143,2026-01-29T15:51:59.256083,2026-01-29T15:52:06.897654,7.641571,{},64,951,0.00039381002838808905,512,0.0012878460950642725,ON,2048,2.234490484467681
54,PRUNED,2.9923425167798996,2026-01-29T15:52:06.905642,2026-01-29T15:52:14.551153,7.645511,{},64,862,0.0006754868242942775,512,0.000818358300096174,ON,2048,1.2404745903793426
