number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_arcface_m,param_arcface_s,param_batch_size,param_epochs,param_hop_length,param_lr,param_mel,param_n_fft
0,COMPLETE,0.01652077039858947,2026-01-27T12:24:02.637360,2026-01-27T14:09:11.850376,6309.213016,"{""best_epoch"": 21, ""best_val_acc"": 1.0, ""effective_batch_size"": 4, ""oom_adjustments"": [{""from"": 16, ""to"": 8}, {""from"": 8, ""to"": 4}], ""output_dir"": ""./outputs/2026-01-27/12-24-02""}",0.4606690070459253,113.01172832679273,16,21,128,0.00020511104188433984,OFF,2048
1,COMPLETE,0.2629547690351804,2026-01-27T14:09:11.863539,2026-01-27T19:19:00.065266,18588.201727,"{""best_epoch"": 9, ""best_val_acc"": 1.0, ""effective_batch_size"": 8, ""oom_adjustments"": [{""from"": 16, ""to"": 8}], ""output_dir"": ""./outputs/2026-01-27/14-09-11""}",0.40854066304816694,38.36346360173629,16,159,320,0.000816845589476017,OFF,2048
2,COMPLETE,0.28657289991776147,2026-01-27T19:19:00.075877,2026-01-27T21:38:38.501735,8378.425858,"{""best_epoch"": 3, ""best_val_acc"": 0.9833333333333333, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-27/19-19-00""}",0.28702664565364655,90.20249584764598,8,59,128,0.006586289317583112,OFF,1024
3,PRUNED,12.960136795043946,2026-01-27T21:38:38.511550,2026-01-27T21:40:29.229380,110.71783,{},0.4256176498949491,47.46466508498665,48,78,128,0.004544383960336014,ON,1024
4,PRUNED,6.109526574611664,2026-01-27T21:40:29.237780,2026-01-27T21:48:30.167620,480.92984,{},0.28658939302939734,23.118535232034645,64,73,128,0.0017643967683381545,ON,1024
5,PRUNED,9.674000390370686,2026-01-27T21:48:30.176530,2026-01-27T21:52:15.441451,225.264921,{},0.4051424146988216,51.207869880548586,16,131,128,0.0001155735281626988,OFF,512
6,PRUNED,26.306964588165282,2026-01-27T21:52:15.449150,2026-01-27T22:06:28.621095,853.171945,{},0.2908020849831183,116.36222559143124,64,164,160,0.0011986281799901185,OFF,2048
7,PRUNED,13.838890234629313,2026-01-27T22:06:28.629251,2026-01-27T22:09:39.683663,191.054412,{},0.2510693774952185,123.79409703351646,16,195,160,0.0005336533066379613,OFF,512
8,PRUNED,33.295072078704834,2026-01-27T22:09:39.692082,2026-01-27T22:11:02.547489,82.855407,{},0.3206698796315519,97.56023104452828,32,55,160,0.003336101309469784,ON,1024
9,PRUNED,13.524746462206046,2026-01-27T22:11:02.554693,2026-01-27T22:27:30.295078,987.740385,{},0.18251256648759595,120.91375873851426,48,83,128,0.002409214543666477,OFF,2048
10,PRUNED,30.40523370107015,2026-01-27T22:27:30.303144,2026-01-27T22:28:02.741443,32.438299,{},0.5995772550218667,74.273248301065,8,11,512,0.0001758046894439956,ON,2048
11,COMPLETE,0.3815343846877416,2026-01-27T22:28:02.749790,2026-01-28T03:02:51.857166,16489.107376,"{""best_epoch"": 14, ""best_val_acc"": 1.0, ""effective_batch_size"": 8, ""oom_adjustments"": [{""from"": 16, ""to"": 8}], ""output_dir"": ""./outputs/2026-01-27/22-28-02""}",0.5203857946269717,18.202316755821144,16,141,320,0.00043072211690099943,OFF,2048
12,PRUNED,14.647470474243164,2026-01-28T03:02:51.866958,2026-01-28T03:09:11.745137,379.878179,{},0.49529853742557417,54.23342032195238,16,11,320,0.0003245988338323982,OFF,2048
13,PRUNED,7.4401394049326575,2026-01-28T03:09:11.753716,2026-01-28T03:16:32.310657,440.556941,{},0.6804618900792363,33.67304748978183,16,108,256,0.0007010478624133058,OFF,2048
14,PRUNED,6.433035975694656,2026-01-28T03:16:32.319074,2026-01-28T03:29:03.339260,751.020186,{},0.10788418943068512,72.32014183498907,32,199,320,0.0003041654393076622,OFF,2048
15,PRUNED,84.04656219482422,2026-01-28T03:29:03.346683,2026-01-28T03:32:46.646887,223.300204,{},0.5229562495609066,99.94103364238391,16,162,512,0.00019386158130601326,OFF,2048
16,PRUNED,32.21090431213379,2026-01-28T03:32:46.654715,2026-01-28T03:34:34.909274,108.254559,{},0.4655559737263075,84.93764908527673,16,40,256,0.0008972398880282288,OFF,512
17,PRUNED,7.288622172673543,2026-01-28T03:34:34.918684,2026-01-28T03:40:55.684860,380.766176,{},0.37897823040376294,37.985124673211004,16,110,320,0.00010774045556358402,OFF,2048
18,PRUNED,23.464335441589355,2026-01-28T03:40:55.694047,2026-01-28T03:41:41.814377,46.12033,{},0.5775264661611894,63.75286277718919,64,172,320,0.0014697881558913084,ON,2048
19,PRUNED,32.696340799331665,2026-01-28T03:41:41.821550,2026-01-28T03:43:30.571039,108.749489,{},0.5914404257407005,103.30879662888486,32,143,256,0.00021385897533541195,OFF,512
20,COMPLETE,0.016929163209473092,2026-01-28T03:43:30.579581,2026-01-28T04:24:02.785564,2432.205983,"{""best_epoch"": 3, ""best_val_acc"": 1.0, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-28/03-43-30""}",0.3591146715998062,110.60267221414952,8,35,512,0.008675115424845517,OFF,2048
21,COMPLETE,0.01907886719952027,2026-01-28T04:24:02.795039,2026-01-28T05:03:23.709560,2360.914521,"{""best_epoch"": 4, ""best_val_acc"": 1.0, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-28/04-24-02""}",0.35741466975668823,111.90346579877699,8,34,512,0.009232546338447662,OFF,2048
22,COMPLETE,0.0159630977238218,2026-01-28T05:03:23.718945,2026-01-28T05:40:26.263272,2222.544327,"{""best_epoch"": 3, ""best_val_acc"": 1.0, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-28/05-03-23""}",0.36048129259769185,113.3301717767458,8,32,512,0.009704777917869766,OFF,2048
23,PRUNED,3.5718026320139566,2026-01-28T05:40:26.274286,2026-01-28T05:44:07.052385,220.778099,{},0.2131087498438187,108.04191861193874,8,30,512,0.009101307223538878,OFF,2048
24,COMPLETE,19.937027486165366,2026-01-28T05:44:07.060296,2026-01-28T06:11:21.131609,1634.071313,"{""best_epoch"": 1, ""best_val_acc"": 0.0, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-28/05-44-07""}",0.4508953555991908,127.716620789869,8,23,512,0.0050353125614800145,OFF,2048
