number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_gamma,param_hop_length,param_lr,param_margin,param_mel,param_n_fft
0,COMPLETE,42.51926930745443,2026-02-12T16:04:28.587240,2026-02-12T16:06:45.956028,137.368788,"{""best_epoch"": 67, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-12/16-04-28""}",16,67,55.84456737008003,128,0.00020511104188433984,0.3598528437324806,OFF,2048
1,COMPLETE,37.811285654703774,2026-02-12T16:06:45.970701,2026-02-12T16:17:13.563319,627.592618,"{""best_epoch"": 362, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-12/16-06-46""}",16,788,46.614384587741526,320,0.000816845589476017,0.15990213464750794,OFF,2048
2,COMPLETE,18.0799155553182,2026-02-12T16:17:13.584223,2026-02-12T16:21:40.645201,267.060978,"{""best_epoch"": 264, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-02-12/16-17-13""}",8,266,30.593075205107287,128,0.006586289317583112,0.2987566853061946,OFF,1024
3,PRUNED,56.47983856201172,2026-02-12T16:21:40.660328,2026-02-12T16:21:50.658432,9.998104,{},48,363,49.456500332869844,128,0.004544383960336014,0.18428035290621425,ON,1024
4,PRUNED,34.848971366882324,2026-02-12T16:21:50.668341,2026-02-12T16:22:17.932029,27.263688,{},64,337,30.5467495040296,128,0.0017643967683381545,0.1190675050858071,ON,1024
5,PRUNED,48.79472096761068,2026-02-12T16:22:17.941259,2026-02-12T16:22:26.379624,8.438365,{},16,640,46.068607112144036,128,0.0001155735281626988,0.19430679432289802,OFF,512
6,COMPLETE,26.991010665893555,2026-02-12T16:22:26.388155,2026-02-12T16:40:30.469170,1084.081015,"{""best_epoch"": 792, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-12/16-22-26""}",64,810,30.996006031608776,160,0.0011986281799901185,0.368827389977048,OFF,2048
7,COMPLETE,17.67980130513509,2026-02-12T16:40:30.485282,2026-02-12T16:47:17.114589,406.629307,"{""best_epoch"": 162, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-12/16-40-30""}",16,973,27.00859875306621,160,0.0005336533066379613,0.3887341884826334,OFF,512
8,PRUNED,27.54679846763611,2026-02-12T16:47:17.138279,2026-02-12T16:47:46.124057,28.985778,{},32,245,34.37646752615187,160,0.003336101309469784,0.3184649045835579,ON,1024
9,COMPLETE,21.437702941894532,2026-02-12T16:47:46.133966,2026-02-12T16:58:45.858789,659.724823,"{""best_epoch"": 393, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-02-12/16-47-46""}",48,393,21.296771455082524,128,0.002409214543666477,0.38101899662102046,OFF,2048
10,PRUNED,87.81139399210612,2026-02-12T16:58:45.872059,2026-02-12T16:58:52.176207,6.304148,{},8,970,100.91305391065973,512,0.00038185879842746114,0.24565757683389833,ON,512
11,COMPLETE,12.823817729949951,2026-02-12T16:58:52.185060,2026-02-12T16:59:39.667936,47.482876,"{""best_epoch"": 103, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-02-12/16-58-52""}",8,113,17.497590044565705,256,0.00918510396557225,0.295623212861551,OFF,512
12,COMPLETE,17.20368506113688,2026-02-12T16:59:39.679412,2026-02-12T16:59:54.368924,14.689512,"{""best_epoch"": 23, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-02-12/16-59-39""}",8,25,18.360247617065497,256,0.009914387279360315,0.26560787202265573,OFF,512
13,COMPLETE,19.58864835103353,2026-02-12T16:59:54.379128,2026-02-12T17:00:04.598420,10.219292,"{""best_epoch"": 12, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-02-12/16-59-54""}",8,13,18.81008773542364,256,0.009770124561766473,0.26594972931242866,OFF,512
14,COMPLETE,9.767549165089925,2026-02-12T17:00:04.608686,2026-02-12T17:01:04.426139,59.817453,"{""best_epoch"": 140, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-02-12/17-00-04""}",8,145,16.443220105532376,256,0.009840090690622517,0.23847240301246303,OFF,512
15,PRUNED,70.96251017252604,2026-02-12T17:01:04.439220,2026-02-12T17:01:10.826933,6.387713,{},8,203,74.72191754957029,256,0.005011114332390702,0.2299682969801763,OFF,512
16,COMPLETE,16.681101202964783,2026-02-12T17:01:10.835598,2026-02-12T17:03:22.555907,131.720309,"{""best_epoch"": 144, ""effective_batch_size"": 32, ""output_dir"": ""./outputs/2026-02-12/17-01-10""}",32,486,16.17710118953143,256,0.0030560425700463974,0.317658358320668,OFF,512
17,PRUNED,25.118237431844076,2026-02-12T17:03:22.569110,2026-02-12T17:03:30.161982,7.592872,{},8,144,23.41935602418507,256,0.005640828694727937,0.21328694557002695,OFF,512
18,COMPLETE,15.807601769765219,2026-02-12T17:03:30.170340,2026-02-12T17:04:07.171626,37.001286,"{""best_epoch"": 53, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-02-12/17-03-30""}",8,133,24.15437707760973,512,0.0015354551510908922,0.28835020102690895,ON,512
19,COMPLETE,10.185948689778646,2026-02-12T17:04:07.181866,2026-02-12T17:07:05.835503,178.653637,"{""best_epoch"": 174, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-02-12/17-04-07""}",8,503,16.209579656895553,320,0.0075507128090297575,0.3385309760652021,OFF,512
20,PRUNED,105.842360496521,2026-02-12T17:07:05.849732,2026-02-12T17:07:11.576057,5.726325,{},32,566,125.69919396698282,320,0.002306609053340658,0.34079152345571323,OFF,512
21,COMPLETE,8.359260829289754,2026-02-12T17:07:11.584264,2026-02-12T17:09:51.106854,159.52259,"{""best_epoch"": 191, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-02-12/17-07-11""}",8,450,16.517952889342638,320,0.00736638578835018,0.33401214769300597,OFF,512
22,COMPLETE,10.677991882960002,2026-02-12T17:09:51.122872,2026-02-12T17:12:41.402541,170.279669,"{""best_epoch"": 264, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-02-12/17-09-51""}",8,482,19.887296921004232,320,0.003943692834084562,0.3374602466136951,OFF,512
23,PRUNED,35.34371172587077,2026-02-12T17:12:41.415450,2026-02-12T17:12:47.509696,6.094246,{},8,541,36.76166503484632,320,0.006409402722845068,0.26884925009209426,OFF,512
24,COMPLETE,5.344214272499085,2026-02-12T17:12:47.519695,2026-02-12T17:16:36.510041,228.990346,"{""best_epoch"": 315, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-02-12/17-12-47""}",8,646,16.35344619525098,320,0.007686726035111518,0.399240948544292,OFF,512
25,PRUNED,28.004716873168945,2026-02-12T17:16:36.529317,2026-02-12T17:16:42.211675,5.682358,{},64,658,22.515286138659253,320,0.0047060267197496656,0.39110648173202234,OFF,512
26,PRUNED,29.743410110473633,2026-02-12T17:16:42.220764,2026-02-12T17:16:48.582812,6.362048,{},48,757,25.95908430964991,320,0.0028372590192882155,0.3595725179042593,ON,512
27,PRUNED,21.961990547180175,2026-02-12T17:16:48.591563,2026-02-12T17:16:54.642605,6.051042,{},8,683,20.171942829584587,320,0.0069963196115178684,0.23207319404802926,OFF,512
28,PRUNED,48.01922022501628,2026-02-12T17:16:54.651354,2026-02-12T17:17:03.591927,8.940573,{},8,428,65.20521635630365,512,0.0007319094944242489,0.39661832653038126,OFF,2048
29,COMPLETE,8.091171216964721,2026-02-12T17:17:03.600544,2026-02-12T17:19:43.404836,159.804292,"{""best_epoch"": 194, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-02-12/17-17-03""}",8,310,16.19745979038551,320,0.00023183966418305248,0.35936511078061123,OFF,1024
30,PRUNED,37.76058006286621,2026-02-12T17:19:43.417010,2026-02-12T17:19:50.951397,7.534387,{},32,294,37.87813982246061,320,0.0002437735313968936,0.3514125650677548,OFF,1024
31,COMPLETE,8.253065689404805,2026-02-12T17:19:50.959665,2026-02-12T17:21:39.503909,108.544244,"{""best_epoch"": 199, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-02-12/17-19-51""}",8,206,16.13350117024986,320,0.00010698363695611317,0.3751745957825012,OFF,1024
32,PRUNED,12.07479421297709,2026-02-12T17:21:39.515001,2026-02-12T17:22:55.414010,75.899009,{},8,436,18.9500972549665,320,0.00010564922517041494,0.3708286493096208,OFF,1024
33,PRUNED,23.816051355997722,2026-02-12T17:22:55.423323,2026-02-12T17:23:03.066604,7.643281,{},16,593,21.299550683996817,320,0.0001957561231509873,0.3181942161451999,OFF,1024
34,COMPLETE,8.206455691655476,2026-02-12T17:23:03.076137,2026-02-12T17:24:56.596036,113.519899,"{""best_epoch"": 209, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-02-12/17-23-03""}",8,217,16.006478386658912,320,0.00014506679126076116,0.3995490062648263,OFF,1024
35,PRUNED,30.560879516601563,2026-02-12T17:24:56.606863,2026-02-12T17:25:04.109852,7.502989,{},48,220,28.050064245122197,320,0.0001533083246530736,0.39969447206304903,OFF,1024
36,PRUNED,24.763361930847168,2026-02-12T17:25:04.118594,2026-02-12T17:25:11.247712,7.129118,{},64,311,18.473458719866255,320,0.00026376180452039995,0.3747950861666762,ON,1024
37,PRUNED,56.09168561299642,2026-02-12T17:25:11.258826,2026-02-12T17:25:19.063384,7.804558,{},8,182,54.71812331162151,320,0.00014778322110797017,0.1333313620169343,OFF,1024
