number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_eps,param_hop_length,param_lr,param_mel,param_n_fft,param_norm_p
0,COMPLETE,17.545650827884675,2026-02-06T21:55:55.483199,2026-02-06T21:58:07.147866,131.664667,"{""best_epoch"": 2, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-06/21-55-55""}",16,67,1.0129197956845722e-05,128,0.00020511104188433984,OFF,2048,3.5985284373248057
1,COMPLETE,17.451593257983525,2026-02-06T21:58:07.160600,2026-02-06T22:08:09.031237,601.870637,"{""best_epoch"": 527, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-06/21-58-07""}",16,788,3.725393839578879e-06,320,0.000816845589476017,OFF,2048,1.5990213464750793
2,PRUNED,26.15081052655975,2026-02-06T22:08:09.051270,2026-02-06T22:08:22.171009,13.119739,{},8,266,3.618723330959616e-07,128,0.006586289317583112,OFF,1024,2.9875668530619457
3,COMPLETE,7.476136803627014,2026-02-06T22:08:22.179287,2026-02-06T22:10:04.740584,102.561297,"{""best_epoch"": 284, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-02-06/22-08-22""}",48,363,5.169879442298538e-06,128,0.004544383960336014,ON,1024,1.8428035290621423
4,COMPLETE,6.6731297224760056,2026-02-06T22:10:04.755481,2026-02-06T22:11:38.524969,93.769488,"{""best_epoch"": 207, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-06/22-10-04""}",64,337,3.588488911386254e-07,128,0.0017643967683381545,ON,1024,1.1906750508580708
5,PRUNED,20.357892314593,2026-02-06T22:11:38.539416,2026-02-06T22:11:46.975262,8.435846,{},16,640,3.4902252478382486e-06,128,0.0001155735281626988,OFF,512,1.94306794322898
6,COMPLETE,6.485765319317579,2026-02-06T22:11:46.983195,2026-02-06T22:29:18.902979,1051.919784,"{""best_epoch"": 805, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-06/22-11-47""}",64,810,3.8906070987056304e-07,160,0.0011986281799901185,OFF,2048,3.6882738997704796
7,PRUNED,28.747730269034705,2026-02-06T22:29:18.923710,2026-02-06T22:29:26.410888,7.487178,{},16,973,1.8151456496577548e-07,160,0.0005336533066379613,OFF,512,3.8873418848263337
8,PRUNED,18.372152000665665,2026-02-06T22:29:26.419325,2026-02-06T22:29:35.446267,9.026942,{},32,245,6.901057779813303e-07,160,0.003336101309469784,ON,1024,3.1846490458355787
9,PRUNED,13.228081607818604,2026-02-06T22:29:35.454571,2026-02-06T22:29:58.765193,23.310622,{},48,393,4.8708496102002865e-08,128,0.002409214543666477,OFF,2048,3.8101899662102037
10,COMPLETE,2.5215941444039345,2026-02-06T22:29:58.773328,2026-02-06T22:31:38.027716,99.254388,"{""best_epoch"": 830, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-06/22-29-58""}",64,970,0.0002680906498213129,512,0.0005338943774556118,ON,2048,2.528097245899107
11,COMPLETE,2.2113730274140835,2026-02-06T22:31:38.050593,2026-02-06T22:33:18.117518,100.066925,"{""best_epoch"": 907, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-06/22-31-38""}",64,996,0.0005777118255328356,512,0.00032810037077763495,ON,2048,2.4197105732823077
12,COMPLETE,2.217685639858246,2026-02-06T22:33:18.140145,2026-02-06T22:34:58.311461,100.171316,"{""best_epoch"": 912, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-06/22-33-18""}",64,968,0.0007068979731794238,512,0.00036320904652239295,ON,2048,2.5544774969929556
13,COMPLETE,2.2222066037356853,2026-02-06T22:34:58.335244,2026-02-06T22:36:22.439526,84.104282,"{""best_epoch"": 775, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-06/22-34-58""}",64,795,0.0008925635600778391,512,0.00023321334933528871,ON,2048,2.4948044703451004
14,PRUNED,3.630404308438301,2026-02-06T22:36:22.454000,2026-02-06T22:37:22.441048,59.987048,{},64,609,6.666622358342741e-05,256,0.0003041654393076622,ON,2048,2.438143161411783
15,PRUNED,14.007213512808084,2026-02-06T22:37:22.451910,2026-02-06T22:37:30.425551,7.973641,{},8,907,5.078856659327226e-05,512,0.00011816133151754964,ON,2048,2.888621136655358
16,PRUNED,6.106042303144932,2026-02-06T22:37:30.433684,2026-02-06T22:37:42.726306,12.292622,{},32,603,0.0009851159436592729,512,0.0003678911772064367,ON,512,2.1432033995107806
17,PRUNED,3.0265831761062145,2026-02-06T22:37:42.735037,2026-02-06T22:38:20.807135,38.072098,{},64,724,0.00013724032593460532,512,0.000785974728314471,ON,2048,3.2529917080375776
18,PRUNED,4.5291066616773605,2026-02-06T22:38:20.817643,2026-02-06T22:39:20.656149,59.838506,{},64,896,2.060174545858351e-05,256,0.0001508332195009605,ON,2048,2.7892813712861875
19,PRUNED,3.009970299899578,2026-02-06T22:39:20.666819,2026-02-06T22:40:09.699596,49.032777,{},64,859,0.00027448576879072974,320,0.00046227262058196495,ON,512,1.0069632701069395
20,PRUNED,35.226510001719,2026-02-06T22:40:09.709302,2026-02-06T22:40:17.655498,7.946196,{},8,513,1.644387806403371e-08,512,0.00020390390237188968,ON,2048,2.202898712956748
21,COMPLETE,2.187059134244919,2026-02-06T22:40:17.663162,2026-02-06T22:41:33.357052,75.69389,"{""best_epoch"": 652, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-06/22-40-17""}",64,735,0.0009574738509612252,512,0.00025243670417465227,ON,2048,2.553452162996074
22,PRUNED,2.4913428891450167,2026-02-06T22:41:33.377314,2026-02-06T22:42:23.434652,50.057338,{},64,994,0.0005634639662887933,512,0.00030641078432959266,ON,2048,2.6347832217557055
23,PRUNED,2.8281466476619244,2026-02-06T22:42:23.445706,2026-02-06T22:43:00.834382,37.388676,{},64,715,0.000264468408889441,512,0.001082870102385771,ON,2048,2.2549864115787615
24,PRUNED,10.113171570003033,2026-02-06T22:43:00.846506,2026-02-06T22:43:08.538030,7.691524,{},32,898,6.710190379370888e-05,512,0.000652639092949302,ON,2048,1.5871974947013578
25,PRUNED,4.653105661273003,2026-02-06T22:43:08.546465,2026-02-06T22:43:21.976340,13.429875,{},64,720,2.7857119831639695e-05,512,0.0003535949850007572,ON,2048,3.2764128860213746
26,PRUNED,5.032726764678955,2026-02-06T22:43:21.985115,2026-02-06T22:43:39.710616,17.725501,{},48,513,0.0001641821338474857,320,0.00016866108700721165,ON,2048,2.7298874677788465
27,PRUNED,2.6055868081748486,2026-02-06T22:43:39.719476,2026-02-06T22:44:20.424046,40.70457,{},64,838,0.0005241026049888724,512,0.00026537725160218035,ON,2048,2.320731940480292
28,PRUNED,3.676479756832123,2026-02-06T22:44:20.435185,2026-02-06T22:44:37.431644,16.996459,{},64,943,0.00014458084007239847,256,0.00010012078005753846,ON,1024,2.0246467564504584
29,PRUNED,5.596301838755608,2026-02-06T22:44:37.441065,2026-02-06T22:44:43.780715,6.33965,{},64,687,1.1011826578274902e-05,512,0.0004398486913952118,ON,512,3.0852338890193716
30,PRUNED,22.72036503230532,2026-02-06T22:44:43.789331,2026-02-06T22:44:51.769145,7.979814,{},8,70,1.1807445842653046e-06,512,0.00018399216316391167,ON,2048,3.4946954372700874
31,COMPLETE,2.225823026150465,2026-02-06T22:44:51.777742,2026-02-06T22:46:13.304122,81.52638,"{""best_epoch"": 773, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-06/22-44-51""}",64,790,0.0009279031962995442,512,0.00024211154198784004,ON,2048,2.5346239680939022
32,PRUNED,2.872290164232254,2026-02-06T22:46:13.319823,2026-02-06T22:46:30.844138,17.524315,{},64,774,0.00047633924716252086,512,0.00023414469311986257,ON,2048,2.366836575135684
33,PRUNED,8.41929762562116,2026-02-06T22:46:30.855060,2026-02-06T22:46:40.184795,9.329735,{},16,856,0.0008885885333431351,320,0.0001418836978946844,ON,2048,1.6890381332494993
34,PRUNED,3.3917264565825462,2026-02-06T22:46:40.193999,2026-02-06T22:46:57.907658,17.713659,{},64,999,0.0004841503081157158,512,0.0007412735283753255,OFF,2048,2.6725603665236655
