number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_arcface_m,param_arcface_s,param_batch_size,param_epochs,param_hop_length,param_lr,param_mel,param_n_fft
24,PRUNED,0.014169027097523212,2026-01-26T22:57:44.846879,2026-01-26T22:58:22.897631,38.050752,{},0.5806880970494004,61.49143795018584,8,62,256,0.0025620437313186926,ON,512
25,PRUNED,10.834711623191833,2026-01-26T22:58:22.905397,2026-01-26T22:59:01.046170,38.140773,{},0.10863635217596607,87.14951829633078,8,91,256,0.005097321662428988,ON,512
26,PRUNED,0.014346939853082101,2026-01-26T22:59:01.054559,2026-01-26T22:59:39.123807,38.069248,{},0.6300232834666235,109.40527465403967,8,118,256,0.0016563098092735138,ON,512
27,PRUNED,0.015960298012942076,2026-01-26T22:59:39.133773,2026-01-26T23:00:17.152171,38.018398,{},0.4772336518713964,71.51420155871438,8,94,256,0.0036738726596660686,ON,512
28,PRUNED,24.224752775828044,2026-01-26T23:00:17.160172,2026-01-26T23:00:55.352593,38.192421,{},0.3708051780658709,96.20718453750597,8,52,256,0.000787999737245463,ON,512
29,PRUNED,48.66825866699219,2026-01-26T23:00:55.361626,2026-01-26T23:01:27.592324,32.230698,{},0.6448139831971895,112.82964135809485,32,69,320,0.00023183966418305248,ON,2048
30,PRUNED,35.808340072631836,2026-01-26T23:01:27.600774,2026-01-26T23:02:01.522954,33.92218,{},0.4537115897919326,56.66972701981624,64,133,256,0.0057931275471553014,ON,512
31,COMPLETE,4.183210379172427e-05,2026-01-26T23:02:01.531196,2026-01-26T23:05:02.203565,180.672369,"{""best_epoch"": 28, ""best_val_acc"": 1.0, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-26/23-02-01""}",0.6941219393877508,78.9741213420512,8,28,512,0.006973881648272358,ON,1024
32,COMPLETE,2.746490063145757e-05,2026-01-26T23:05:02.212809,2026-01-26T23:09:43.893217,281.680408,"{""best_epoch"": 43, ""best_val_acc"": 1.0, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-26/23-05-02""}",0.5960913794642817,76.84906172463238,8,44,512,0.006960508520502947,ON,2048
33,COMPLETE,0.0001221723776931564,2026-01-26T23:09:43.903629,2026-01-26T23:12:02.209049,138.30542,"{""best_epoch"": 23, ""best_val_acc"": 1.0, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-26/23-09-43""}",0.5966649604767299,73.73518804663291,8,23,512,0.00694850652495411,ON,2048
34,PRUNED,0.004290784491846959,2026-01-26T23:12:02.218296,2026-01-26T23:14:42.557051,160.338755,{},0.6622088398943704,39.55876815869764,8,25,512,0.007097959763252459,OFF,2048
35,COMPLETE,5.703650776922586e-06,2026-01-26T23:14:42.565619,2026-01-26T23:21:29.189602,406.623983,"{""best_epoch"": 64, ""best_val_acc"": 1.0, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-26/23-14-42""}",0.6994108122143693,68.99425285168033,8,64,512,0.005138734931269798,ON,2048
36,PRUNED,0.011423372415204842,2026-01-26T23:21:29.198930,2026-01-26T23:21:52.818808,23.619878,{},0.6049615645860017,48.449867153382755,16,67,512,0.004668096702512278,ON,2048
37,PRUNED,8.671067357063293,2026-01-26T23:21:52.826855,2026-01-26T23:27:05.884261,313.057406,{},0.5613162783492767,28.443708486322116,64,85,320,0.002717337708668465,OFF,2048
38,PRUNED,0.017700118633608024,2026-01-26T23:27:05.892508,2026-01-26T23:28:07.672483,61.779975,{},0.6462466272539017,57.08476280247956,8,75,160,0.0019195294017431588,ON,2048
39,PRUNED,0.6081860423088074,2026-01-26T23:28:07.680868,2026-01-26T23:36:12.355554,484.674686,{},0.3652773435033627,39.74000474818578,16,46,128,0.005541099225875584,OFF,2048
40,PRUNED,0.011494165565818549,2026-01-26T23:36:12.363774,2026-01-26T23:36:39.122847,26.759073,{},0.5146154144990557,68.81931438969892,8,178,512,0.0035181477990014936,ON,2048
