number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_eps,param_hop_length,param_lr,param_mel,param_n_fft,param_norm_p
0,FAIL,,2026-02-10T01:12:06.840497,2026-02-10T01:13:05.989137,59.14864,"{""failed_reason"": ""cuda_oom""}",16,21,1.0129197956845722e-05,128,0.00020511104188433984,OFF,2048,3.5985284373248057
1,COMPLETE,13.998357595178337,2026-02-10T01:13:05.997493,2026-02-10T10:55:33.525800,34947.528307,"{""best_epoch"": 87, ""effective_batch_size"": 4, ""oom_adjustments"": [{""from"": 16, ""to"": 8}, {""from"": 8, ""to"": 4}], ""output_dir"": ""./outputs/2026-02-10/01-13-06""}",16,159,3.725393839578879e-06,320,0.000816845589476017,OFF,2048,1.5990213464750793
2,COMPLETE,19.59429103117436,2026-02-10T10:55:33.541737,2026-02-10T15:33:23.653983,16670.112246,"{""best_epoch"": 41, ""effective_batch_size"": 4, ""oom_adjustments"": [{""from"": 8, ""to"": 4}], ""output_dir"": ""./outputs/2026-02-10/10-55-33""}",8,59,3.618723330959616e-07,128,0.006586289317583112,OFF,1024,2.9875668530619457
3,COMPLETE,8.41264717578888,2026-02-10T15:33:23.665961,2026-02-10T16:47:43.522521,4459.85656,"{""best_epoch"": 42, ""effective_batch_size"": 12, ""oom_adjustments"": [{""from"": 48, ""to"": 24}, {""from"": 24, ""to"": 12}], ""output_dir"": ""./outputs/2026-02-10/15-33-23""}",48,78,5.169879442298538e-06,128,0.004544383960336014,ON,1024,1.8428035290621423
4,PRUNED,25.766404195626578,2026-02-10T16:47:43.533515,2026-02-10T16:51:02.901898,199.368383,{},64,73,3.588488911386254e-07,128,0.0017643967683381545,ON,1024,1.1906750508580708
5,PRUNED,20.14943530857563,2026-02-10T16:51:02.910113,2026-02-10T16:57:45.086507,402.176394,{},16,131,3.4902252478382486e-06,128,0.0001155735281626988,OFF,512,1.94306794322898
6,FAIL,,2026-02-10T16:57:45.094257,2026-02-10T16:58:50.209326,65.115069,{},64,164,3.8906070987056304e-07,160,0.0011986281799901185,OFF,2048,3.6882738997704796
7,PRUNED,28.08134567538897,2026-02-10T16:58:50.218268,2026-02-10T17:04:23.694375,333.476107,{},16,195,1.8151456496577548e-07,160,0.0005336533066379613,OFF,512,3.8873418848263337
8,PRUNED,23.73369203309218,2026-02-10T17:04:23.703247,2026-02-10T17:06:59.545432,155.842185,{},32,55,6.901057779813303e-07,160,0.003336101309469784,ON,1024,3.1846490458355787
9,FAIL,,2026-02-10T17:06:59.554121,2026-02-10T17:08:18.599724,79.045603,{},48,83,4.8708496102002865e-08,128,0.002409214543666477,OFF,2048,3.8101899662102037
10,COMPLETE,8.559474981452029,2026-02-10T17:08:18.608465,2026-02-10T21:31:10.831389,15772.222924,"{""best_epoch"": 130, ""effective_batch_size"": 8, ""oom_adjustments"": [{""from"": 32, ""to"": 16}, {""from"": 16, ""to"": 8}], ""output_dir"": ""./outputs/2026-02-10/17-08-18""}",32,148,0.0002725411733530407,160,0.0004993662066506425,OFF,512,3.691330779857731
11,COMPLETE,10.1079276807451,2026-02-10T21:31:10.841744,2026-02-11T01:40:52.416825,14981.575081,"{""best_epoch"": 30, ""effective_batch_size"": 4, ""oom_adjustments"": [{""from"": 32, ""to"": 16}, {""from"": 16, ""to"": 8}, {""from"": 8, ""to"": 4}], ""output_dir"": ""./outputs/2026-02-10/21-31-10""}",32,55,5.4007867012865344e-05,128,0.0026567974312886175,OFF,1024,1.9761990944778032
12,PRUNED,22.313229998139043,2026-02-11T01:40:52.428182,2026-02-11T01:52:17.566300,685.138118,{},8,47,2.534322108372481e-07,160,0.0009661295989662241,OFF,1024,3.167356345784516
13,PRUNED,14.808074516057967,2026-02-11T01:52:17.575417,2026-02-11T01:53:08.403596,50.828179,{},48,11,1.9380838652525874e-08,512,0.007219277407213828,ON,2048,2.492146798436366
14,COMPLETE,5.675976350903511,2026-02-11T01:53:08.411765,2026-02-11T02:50:47.309064,3458.897299,"{""best_epoch"": 106, ""effective_batch_size"": 24, ""oom_adjustments"": [{""from"": 48, ""to"": 24}], ""output_dir"": ""./outputs/2026-02-11/01-53-08""}",48,122,0.0006016904707021845,256,0.00029040476918499767,ON,512,3.837429159921139
15,PRUNED,9.074632691591978,2026-02-11T02:50:47.323427,2026-02-11T03:33:27.805704,2560.482277,{},48,109,3.499378483573432e-05,256,0.00017885233014558696,ON,512,2.398796577645708
16,COMPLETE,5.566907252371311,2026-02-11T03:33:27.814971,2026-02-11T04:18:55.046567,2727.231596,"{""best_epoch"": 89, ""effective_batch_size"": 24, ""oom_adjustments"": [{""from"": 48, ""to"": 24}], ""output_dir"": ""./outputs/2026-02-11/03-33-27""}",48,96,0.0008334154738569542,256,0.00028192331933899037,ON,512,1.3808217211347897
17,COMPLETE,5.403551645576954,2026-02-11T04:18:55.059064,2026-02-11T05:08:07.313481,2952.254417,"{""best_epoch"": 104, ""effective_batch_size"": 24, ""oom_adjustments"": [{""from"": 48, ""to"": 24}], ""output_dir"": ""./outputs/2026-02-11/04-18-55""}",48,104,0.0008578804046386862,256,0.0003041654393076622,ON,512,1.1055450101288817
18,PRUNED,7.774000260233879,2026-02-11T05:08:07.325800,2026-02-11T05:37:06.621429,1739.295629,{},48,93,0.00012657888504767818,256,0.0002978626276597509,ON,512,1.2118237554515416
19,PRUNED,6.365359572693706,2026-02-11T05:37:06.629188,2026-02-11T06:14:30.911973,2244.282785,{},64,102,0.0009851239628352027,256,0.00010978347190295245,ON,512,1.4126848598223458
20,PRUNED,10.738835161924362,2026-02-11T06:14:30.920792,2026-02-11T06:16:16.409122,105.48833,{},48,170,1.9307521256198713e-05,256,0.0002155941398714515,ON,2048,1.0378981432812175
21,COMPLETE,4.869949305057526,2026-02-11T06:16:16.417293,2026-02-11T06:24:14.391457,477.974164,"{""best_epoch"": 28, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-02-11/06-16-16""}",48,33,0.00017655294346050063,512,0.000616732419222761,ON,512,1.4502822333460195
22,COMPLETE,5.0087851017713545,2026-02-11T06:24:14.402100,2026-02-11T06:30:01.777743,347.375643,"{""best_epoch"": 11, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-02-11/06-24-14""}",48,24,0.00015160525163464557,512,0.0016495649643796597,ON,512,2.201599810234381
23,PRUNED,16.999298322200776,2026-02-11T06:30:01.787417,2026-02-11T06:30:53.139890,51.352473,{},8,12,1.0655147946144456e-05,512,0.001581512286521429,ON,512,2.202898712956748
24,COMPLETE,5.063971048593521,2026-02-11T06:30:53.147773,2026-02-11T06:39:03.535148,490.387375,"{""best_epoch"": 28, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-02-11/06-30-53""}",48,34,0.00014017146324844378,512,0.0005111893785503156,ON,512,1.65503028113149
25,COMPLETE,5.195157206058502,2026-02-11T06:39:03.545135,2026-02-11T06:46:45.379106,461.833971,"{""best_epoch"": 28, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-02-11/06-39-03""}",48,32,0.00011328037528570403,512,0.0005994941672339381,ON,512,1.7242339073040416
26,COMPLETE,4.724768263101578,2026-02-11T06:46:45.387984,2026-02-11T06:54:12.056161,446.668177,"{""best_epoch"": 28, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-02-11/06-46-45""}",48,31,0.00020530734929945926,512,0.0015459317836527741,ON,512,2.8068648177510416
27,COMPLETE,3.15344113484025,2026-02-11T06:54:12.066908,2026-02-11T07:00:56.102597,404.035689,"{""best_epoch"": 23, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-11/06-54-12""}",64,28,0.00024119090637655079,512,0.0015867112611818858,ON,512,2.863871211050557
28,COMPLETE,3.90583723038435,2026-02-11T07:00:56.114292,2026-02-11T07:10:59.750246,603.635954,"{""best_epoch"": 32, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-11/07-00-56""}",64,42,4.399216620292643e-05,512,0.0012331100878085735,ON,2048,2.6252800573509774
29,COMPLETE,3.695303112268448,2026-02-11T07:10:59.759125,2026-02-11T07:28:37.157796,1057.398671,"{""best_epoch"": 56, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-11/07-10-59""}",64,74,4.8225988686242136e-05,512,0.0011714050817258769,ON,2048,2.804212971223602
30,COMPLETE,3.555947531014681,2026-02-11T07:28:37.167972,2026-02-11T07:46:12.269794,1055.101822,"{""best_epoch"": 51, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-11/07-28-37""}",64,74,4.554472030191645e-05,512,0.0025414162477634915,ON,2048,2.727957541787158
31,PRUNED,13.098590470850468,2026-02-11T07:46:12.280015,2026-02-11T07:47:40.243465,87.96345,{},64,75,1.2119857989437705e-05,320,0.0027886124687735592,ON,2048,3.5227429099260807
32,PRUNED,16.225855115801096,2026-02-11T07:47:40.252887,2026-02-11T07:49:07.858817,87.60593,{},64,66,1.8044748426485645e-06,320,0.0036667925581218355,ON,2048,3.3661321554606625
33,COMPLETE,2.5748718678951263,2026-02-11T07:49:07.867230,2026-02-11T08:10:00.788979,1252.921749,"{""best_epoch"": 82, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-11/07-49-07""}",64,88,0.0004014710990699097,512,0.0020569203850456675,ON,2048,2.836318900401792
34,COMPLETE,3.3554746005684137,2026-02-11T08:10:00.801687,2026-02-11T08:29:42.663381,1181.861694,"{""best_epoch"": 57, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-11/08-10-00""}",64,83,7.055640923268515e-05,512,0.0020875253051464114,ON,2048,2.762003046613036
35,COMPLETE,2.3144832253456116,2026-02-11T08:29:42.673951,2026-02-11T08:49:55.341190,1212.667239,"{""best_epoch"": 81, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-11/08-29-42""}",64,85,0.00037308979965026636,512,0.002245371895234438,ON,2048,2.889397911611276
36,COMPLETE,2.3732730224728584,2026-02-11T08:49:55.352577,2026-02-11T09:09:50.704079,1195.351502,"{""best_epoch"": 56, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-11/08-49-55""}",64,84,0.00045142596343365147,512,0.004638283977612875,ON,2048,2.9800528657217096
37,COMPLETE,2.5373745188117027,2026-02-11T09:09:50.715578,2026-02-11T09:38:14.788423,1704.072845,"{""best_epoch"": 59, ""effective_batch_size"": 64, ""output_dir"": ""./outputs/2026-02-11/09-09-50""}",64,120,0.00037059243969675545,512,0.005510751976623869,ON,2048,2.9420693130752493
38,PRUNED,9.207230710610748,2026-02-11T09:38:14.799310,2026-02-11T09:45:12.713317,417.914007,{},64,121,0.00047258798593997984,512,0.004824858100266032,OFF,2048,3.082459424134148
39,PRUNED,7.449429448693991,2026-02-11T09:45:12.721315,2026-02-11T09:46:40.412870,87.691555,{},64,89,0.0004656008343679451,320,0.009460522335737617,ON,2048,3.362895023504171
40,PRUNED,9.176642297705014,2026-02-11T09:46:40.421475,2026-02-11T09:47:31.580009,51.158534,{},16,115,0.00038286327561330306,512,0.005663541857657403,ON,2048,3.008705654768049
41,FAIL,,2026-02-11T09:47:31.589968,2026-02-11T09:48:49.150707,77.560739,{},64,132,0.0003362991840345904,128,0.0038182796765826176,OFF,2048,3.293515991387695
42,FAIL,,2026-02-11T09:48:49.159880,2026-02-11T09:50:07.165111,78.005231,{},64,136,3.846718121497453e-08,128,0.007462335250945944,OFF,2048,3.257767775717226
43,FAIL,,2026-02-11T09:50:07.172315,2026-02-11T09:51:24.722036,77.549721,{},64,153,7.273558052785392e-08,128,0.003942206063535669,OFF,2048,3.2934534865328366
44,FAIL,,2026-02-11T09:51:24.732359,2026-02-11T09:52:42.781108,78.048749,{},64,125,3.4989087237617327e-08,128,0.004194274114761696,OFF,2048,3.3148235638163395
45,FAIL,,2026-02-11T09:52:42.788757,2026-02-11T09:54:00.365504,77.576747,{},64,134,1.0960330513727725e-08,128,0.0039104119956890875,OFF,2048,3.2548263127872423
46,FAIL,,2026-02-11T09:54:00.374780,2026-02-11T09:55:18.818448,78.443668,{},64,139,3.684711993739939e-08,128,0.004287923238278194,OFF,2048,3.2922641849342713
47,FAIL,,2026-02-11T09:55:18.826477,2026-02-11T09:56:36.375013,77.548536,{},64,139,1.0168339991068411e-08,128,0.007693677133896888,OFF,2048,3.2925064111596907
48,FAIL,,2026-02-11T09:56:36.383709,2026-02-11T09:57:54.788083,78.404374,{},64,138,4.239305944186044e-08,128,0.0038142384009466073,OFF,2048,3.326806750072345
49,FAIL,,2026-02-11T09:57:54.796894,2026-02-11T09:59:12.963530,78.166636,{},64,142,9.728479379457782e-08,128,0.0040830161148167395,OFF,2048,3.2993944691329387
50,FAIL,,2026-02-11T09:59:12.971561,2026-02-11T10:00:31.569931,78.59837,{},64,139,7.216051895733574e-08,128,0.0038989260004770646,OFF,2048,3.2965066318701783
51,FAIL,,2026-02-11T10:00:31.578848,2026-02-11T10:01:49.754476,78.175628,{},64,144,4.9510279388590014e-08,128,0.0036548125465930346,OFF,2048,3.3563298337439877
52,FAIL,,2026-02-11T10:01:49.763543,2026-02-11T10:03:08.210863,78.44732,{},64,136,1.1241349938084679e-07,128,0.004259135759341828,OFF,2048,3.2771290783909115
53,FAIL,,2026-02-11T10:03:08.218901,2026-02-11T10:04:26.462672,78.243771,{},64,137,4.8170203601238785e-08,128,0.004073207982502945,OFF,2048,3.2583327561910984
54,FAIL,,2026-02-11T10:04:26.471473,2026-02-11T10:05:45.185591,78.714118,{},64,131,6.822366121405239e-08,128,0.0037869892499786404,OFF,2048,3.309443019171949
55,FAIL,,2026-02-11T10:05:45.193776,2026-02-11T10:07:03.207186,78.01341,{},64,139,2.6942061794559693e-08,128,0.003968418026559043,OFF,2048,2.93459954740871
56,FAIL,,2026-02-11T10:07:03.215356,2026-02-11T10:08:22.203299,78.987943,{},64,136,8.99985398523395e-08,128,0.0038061195227909184,OFF,2048,3.3092589182275463
57,FAIL,,2026-02-11T10:08:22.214914,2026-02-11T10:09:40.778126,78.563212,{},64,135,2.7829509539378647e-08,128,0.0038726560785219025,OFF,2048,3.30648017966582
58,FAIL,,2026-02-11T10:09:40.787072,2026-02-11T10:10:59.967916,79.180844,{},64,134,7.992998718878326e-08,128,0.004110177526999383,OFF,2048,2.3292169970357586
59,FAIL,,2026-02-11T10:10:59.977009,2026-02-11T10:12:18.495426,78.518417,{},64,138,9.681005169966822e-08,128,0.003887158385121543,OFF,2048,3.319236826287389
60,FAIL,,2026-02-11T10:12:18.502777,2026-02-11T10:13:37.233515,78.730738,{},64,136,1.701250828706752e-08,128,0.003710170115820421,OFF,2048,3.2982617943428285
61,FAIL,,2026-02-11T10:13:37.241953,2026-02-11T10:14:55.718946,78.476993,{},64,135,5.5694934114413626e-08,128,0.0037566850278302187,OFF,2048,3.304991107144042
62,FAIL,,2026-02-11T10:14:55.730681,2026-02-11T10:16:14.455966,78.725285,{},64,136,5.261353632284608e-08,128,0.003860494994545424,OFF,2048,3.2567691950001008
63,FAIL,,2026-02-11T10:16:14.464829,2026-02-11T10:17:33.125498,78.660669,{},64,140,9.188660199337168e-08,128,0.0036579136659463207,OFF,2048,3.282270849089019
64,FAIL,,2026-02-11T10:17:33.132673,2026-02-11T10:18:51.283106,78.150433,{},64,163,0.0002849413063080303,128,0.003825940578804259,OFF,2048,3.2624650531647363
65,FAIL,,2026-02-11T10:18:51.290532,2026-02-11T10:20:08.817397,77.526865,{},64,141,2.0965072412806277e-08,128,0.004085199190784363,OFF,2048,3.299788401847268
66,FAIL,,2026-02-11T10:20:08.827377,2026-02-11T10:21:26.798031,77.970654,{},64,144,1.1764881799576773e-08,128,0.004237455390818369,OFF,2048,3.292538436184464
67,FAIL,,2026-02-11T10:21:26.807211,2026-02-11T10:22:44.551844,77.744633,{},64,140,0.0003518422005472886,128,0.003910047422925658,OFF,2048,3.3134256836081577
68,FAIL,,2026-02-11T10:22:44.560846,2026-02-11T10:24:02.593877,78.033031,{},64,133,3.624848185573098e-08,128,0.003995559894918422,OFF,2048,3.3256081249547527
69,FAIL,,2026-02-11T10:24:02.602291,2026-02-11T10:25:20.251002,77.648711,{},64,145,8.593307851071831e-08,128,0.0037873996130920605,OFF,2048,3.298854368218207
70,FAIL,,2026-02-11T10:25:20.259392,2026-02-11T10:26:38.248843,77.989451,{},64,141,2.7445895077541945e-08,128,0.003919534354197097,OFF,2048,3.320557200375641
71,FAIL,,2026-02-11T10:26:38.258127,2026-02-11T10:27:55.643806,77.385679,{},64,141,8.745012674735756e-05,128,0.00404765222606357,OFF,2048,3.3145332141926405
72,FAIL,,2026-02-11T10:27:55.652305,2026-02-11T10:29:13.690527,78.038222,{},64,139,0.00033601232864033685,128,0.0038062276728428046,OFF,2048,3.34110832424752
73,FAIL,,2026-02-11T10:29:13.697950,2026-02-11T10:30:31.321641,77.623691,{},64,137,5.18729214389934e-08,128,0.004226236597400029,OFF,2048,2.937664184716443
74,FAIL,,2026-02-11T10:30:31.331026,2026-02-11T10:31:49.502632,78.171606,{},64,143,8.826149063596827e-08,128,0.0038968195536511242,OFF,2048,2.320696881569128
