number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_gamma,param_hop_length,param_lr,param_margin,param_mel,param_n_fft
24,COMPLETE,5.344214272499085,2026-01-23T19:05:00.389261,2026-01-23T19:11:33.388898,392.999637,"{""best_epoch"": 315, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/19-05-00""}",8,646,16.35344619525098,320,0.007686726035111518,0.399240948544292,OFF,512
25,PRUNED,28.004716873168945,2026-01-23T19:11:33.412231,2026-01-23T19:11:40.023454,6.611223,{},64,658,22.515286138659253,320,0.0047060267197496656,0.39110648173202234,OFF,512
26,PRUNED,29.435123443603516,2026-01-23T19:11:40.031268,2026-01-23T19:11:47.622027,7.590759,{},48,757,25.95908430964991,320,0.0028372590192882155,0.3595725179042593,ON,512
27,PRUNED,21.961990547180175,2026-01-23T19:11:47.630792,2026-01-23T19:11:55.199093,7.568301,{},8,683,20.171942829584587,320,0.0069963196115178684,0.23207319404802926,OFF,512
28,PRUNED,48.01922022501628,2026-01-23T19:11:55.206200,2026-01-23T19:12:06.148688,10.942488,{},8,428,65.20521635630365,512,0.0007319094944242489,0.39661832653038126,OFF,2048
29,COMPLETE,8.091171216964721,2026-01-23T19:12:06.156367,2026-01-23T19:16:01.014845,234.858478,"{""best_epoch"": 194, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/19-12-06""}",8,310,16.19745979038551,320,0.00023183966418305248,0.35936511078061123,OFF,1024
30,PRUNED,37.76058006286621,2026-01-23T19:16:01.028154,2026-01-23T19:16:09.839175,8.811021,{},32,294,37.87813982246061,320,0.0002437735313968936,0.3514125650677548,OFF,1024
31,COMPLETE,8.253065689404805,2026-01-23T19:16:09.847099,2026-01-23T19:18:46.295302,156.448203,"{""best_epoch"": 199, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/19-16-09""}",8,206,16.13350117024986,320,0.00010698363695611317,0.3751745957825012,OFF,1024
32,PRUNED,12.07479421297709,2026-01-23T19:18:46.306853,2026-01-23T19:20:36.965920,110.659067,{},8,436,18.9500972549665,320,0.00010564922517041494,0.3708286493096208,OFF,1024
33,PRUNED,23.816051355997722,2026-01-23T19:20:36.975668,2026-01-23T19:20:45.960611,8.984943,{},16,593,21.299550683996817,320,0.0001957561231509873,0.3181942161451999,OFF,1024
34,COMPLETE,8.206455691655476,2026-01-23T19:20:45.967460,2026-01-23T19:23:30.334154,164.366694,"{""best_epoch"": 209, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/19-20-46""}",8,217,16.006478386658912,320,0.00014506679126076116,0.3995490062648263,OFF,1024
35,PRUNED,30.560879516601563,2026-01-23T19:23:30.345676,2026-01-23T19:23:39.146946,8.80127,{},48,220,28.050064245122197,320,0.0001533083246530736,0.39969447206304903,OFF,1024
36,PRUNED,24.818110466003418,2026-01-23T19:23:39.154019,2026-01-23T19:23:47.518075,8.364056,{},64,311,18.473458719866255,320,0.00026376180452039995,0.3747950861666762,ON,1024
37,PRUNED,56.09168561299642,2026-01-23T19:23:47.526851,2026-01-23T19:23:57.148860,9.622009,{},8,182,54.71812331162151,320,0.00014778322110797017,0.1333313620169343,OFF,1024
38,PRUNED,20.956531715393066,2026-01-23T19:23:57.162181,2026-01-23T19:24:06.853105,9.690924,{},8,70,22.882675113353905,320,0.00014229294192913162,0.359514837825915,OFF,1024
39,PRUNED,21.614606221516926,2026-01-23T19:24:06.868390,2026-01-23T19:24:20.858172,13.989782,{},16,354,20.407877202452998,160,0.0003540252827672499,0.37201514526583523,OFF,1024
40,PRUNED,28.954059600830078,2026-01-23T19:24:20.867480,2026-01-23T19:24:33.155338,12.287858,{},64,266,25.376811133186333,128,0.00037367647750838573,0.38543374449867146,ON,1024
41,COMPLETE,9.115149958928425,2026-01-23T19:24:33.162976,2026-01-23T19:29:31.284077,298.121101,"{""best_epoch"": 314, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/19-24-33""}",8,397,17.088476057056237,320,0.00010189161943391766,0.35264069402553255,OFF,1024
42,PRUNED,12.171372731526693,2026-01-23T19:29:31.296939,2026-01-23T19:32:09.020941,157.724002,{},8,334,16.007334334045254,320,0.0001811737160092375,0.32887739304063973,OFF,2048
43,COMPLETE,7.5541642506917315,2026-01-23T19:32:09.029801,2026-01-23T19:41:23.270333,554.240532,"{""best_epoch"": 278, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/19-32-09""}",8,759,17.77163777343605,320,0.0009390169191532357,0.3773991544756444,OFF,1024
44,COMPLETE,7.815309961636861,2026-01-23T19:41:23.286587,2026-01-23T19:52:16.330286,653.043699,"{""best_epoch"": 223, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/19-41-23""}",8,883,18.173290256050283,320,0.0008534976536227613,0.3776138908437654,OFF,1024
45,PRUNED,23.876010513305665,2026-01-23T19:52:16.348720,2026-01-23T19:52:29.545558,13.196838,{},48,853,18.36017892975954,160,0.0009022214005673452,0.3999075558892886,OFF,1024
46,PRUNED,24.81684767405192,2026-01-23T19:52:29.552427,2026-01-23T19:52:47.516196,17.963769,{},8,891,30.038594248243978,128,0.0006088526358265806,0.3838989244869712,OFF,1024
47,PRUNED,22.096451568603516,2026-01-23T19:52:47.525416,2026-01-23T19:52:55.275656,7.75024,{},16,725,20.95898313171392,512,0.0014366972387078515,0.3631991189263736,OFF,1024
48,PRUNED,25.403864669799805,2026-01-23T19:52:55.283600,2026-01-23T19:54:23.470481,88.186881,{},8,911,17.999557778496808,320,0.0010252105485889819,0.34816392240323496,ON,1024
