number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_gamma,param_hop_length,param_lr,param_margin,param_n_fft
29,COMPLETE,6.538613508076027,2026-01-27T19:03:28.003532,2026-01-27T19:27:56.405315,1468.401783,"{""best_epoch"": 45, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-27/19-03-28""}",4,47,18.70389030363545,320,0.0012825009659141982,0.37813858595444694,512
30,PRUNED,15.46246697107951,2026-01-27T19:27:56.416191,2026-01-27T19:36:05.197045,488.780854,{},8,25,18.732429648042878,320,0.0019741952777832606,0.3808574311896908,512
31,COMPLETE,7.9000199667902455,2026-01-27T19:36:05.207703,2026-01-27T20:00:47.444188,1482.236485,"{""best_epoch"": 38, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-27/19-36-05""}",4,47,22.97882542584639,320,0.0012361529245919175,0.36073179252043763,512
32,COMPLETE,6.979062591368954,2026-01-27T20:00:47.455720,2026-01-27T20:29:47.576448,1740.120728,"{""best_epoch"": 42, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-27/20-00-47""}",4,56,19.169324503775165,320,0.001257624326226432,0.3635026717896151,512
33,COMPLETE,6.150744037633693,2026-01-27T20:29:47.587059,2026-01-27T20:56:23.940181,1596.353122,"{""best_epoch"": 39, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-27/20-29-47""}",4,51,18.41878216947452,320,0.0012960882107318238,0.3601618952117498,512
34,COMPLETE,5.622667973861098,2026-01-27T20:56:23.951613,2026-01-27T21:33:00.701268,2196.749655,"{""best_epoch"": 69, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-27/20-56-24""}",4,71,17.89512470078332,320,0.003027367016145911,0.3790586597598933,512
35,COMPLETE,4.701057793779506,2026-01-27T21:33:00.717172,2026-01-27T22:10:53.989113,2273.271941,"{""best_epoch"": 64, ""effective_batch_size"": 4, ""output_dir"": ""./outputs/2026-01-27/21-33-00""}",4,75,16.137689719466675,320,0.0031368956829020862,0.3889735478393701,512
36,PRUNED,17.659124247233073,2026-01-27T22:10:54.001702,2026-01-27T22:12:33.972744,99.971042,{},16,73,16.115549008279565,320,0.004179399047902283,0.39897764813857406,512
37,PRUNED,10.630217521830842,2026-01-27T22:12:33.983868,2026-01-27T22:25:13.084326,759.100458,{},4,110,17.92090780503205,320,0.0031522974133082124,0.31825323555873125,512
38,PRUNED,15.546721045176188,2026-01-27T22:25:13.098581,2026-01-27T22:31:59.692326,406.593745,{},8,67,17.04982301384666,320,0.0028266166236097325,0.38192244741412684,512
39,PRUNED,21.059446080525717,2026-01-27T22:31:59.706379,2026-01-27T22:33:39.396572,99.690193,{},16,86,18.4297353133667,320,0.00495923796394124,0.3575961740182584,512
40,PRUNED,36.41158580780029,2026-01-27T22:33:39.407097,2026-01-27T22:35:21.117123,101.710026,{},4,95,50.78977210074881,320,0.0025701400883370693,0.377662929411641,512
