number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_arcface_m,param_arcface_s,param_batch_size,param_epochs,param_hop_length,param_lr,param_mel,param_n_fft
27,PRUNED,22.956336975097656,2026-02-02T10:26:43.397173,2026-02-02T10:26:52.688095,9.290922,{},0.47954848877111944,62.04473990668687,64,683,512,0.00722251089808129,ON,2048
28,PRUNED,23.620736360549927,2026-02-02T10:26:52.697461,2026-02-02T10:27:00.354067,7.656606,{},0.5609364004223176,87.97546676024035,32,549,320,0.0027057881382136473,ON,512
29,PRUNED,37.6738715171814,2026-02-02T10:27:00.362808,2026-02-02T10:27:12.408932,12.046124,{},0.4650231235852769,94.3045929841174,32,189,256,0.0007369042628989034,ON,2048
30,COMPLETE,9.318758770859858e-06,2026-02-02T10:27:12.416396,2026-02-02T10:27:48.826595,36.410199,"{""best_epoch"": 138, ""best_val_acc"": 1.0, ""effective_batch_size"": 32, ""output_dir"": ""./outputs/2026-02-02/10-27-12""}",0.6987322678042678,115.01738820914812,32,138,512,0.004023982747613686,ON,2048
31,COMPLETE,0.0,2026-02-02T10:27:48.836628,2026-02-02T10:29:11.958049,83.121421,"{""best_epoch"": 428, ""best_val_acc"": 1.0, ""effective_batch_size"": 32, ""output_dir"": ""./outputs/2026-02-02/10-27-48""}",0.6961307247257077,110.98765916418157,32,434,512,0.007870149803685089,ON,2048
32,PRUNED,0.02958646579645574,2026-02-02T10:29:11.973000,2026-02-02T10:29:21.150070,9.17707,{},0.6307148186829867,126.98924674491352,32,438,512,0.005959222058434299,ON,2048
33,COMPLETE,0.0,2026-02-02T10:29:21.159032,2026-02-02T10:32:14.866976,173.707944,"{""best_epoch"": 222, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/10-29-21""}",0.6706406731021006,107.70696892454941,16,607,512,0.008309432585591445,ON,2048
34,COMPLETE,0.0,2026-02-02T10:32:14.883383,2026-02-02T10:37:25.753001,310.869618,"{""best_epoch"": 239, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/10-32-14""}",0.6112889534204227,108.076523817146,16,335,320,0.007609178840918304,OFF,2048
35,COMPLETE,0.0,2026-02-02T10:37:25.764039,2026-02-02T10:40:11.287995,165.523956,"{""best_epoch"": 256, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/10-37-25""}",0.6205949260440105,105.97706518934402,16,289,320,0.005581504241983858,OFF,1024
36,PRUNED,0.14941783249378204,2026-02-02T10:40:11.300083,2026-02-02T10:40:25.863735,14.563652,{},0.354715241110214,112.61232120671025,16,309,320,0.007480305745347512,OFF,2048
37,COMPLETE,0.0,2026-02-02T10:40:25.871536,2026-02-02T10:45:58.371513,332.499977,"{""best_epoch"": 311, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/10-40-25""}",0.5613162783492767,120.03876374833199,16,361,320,0.004599340571341932,OFF,2048
38,PRUNED,0.051033426572879154,2026-02-02T10:45:58.384376,2026-02-02T10:46:07.383988,8.999612,{},0.6656063914879107,19.122301952517994,16,398,320,0.006407152249201729,OFF,1024
39,PRUNED,47.22030309041341,2026-02-02T10:46:07.392771,2026-02-02T10:46:32.659870,25.267099,{},0.6161043723861857,102.068112660404,16,231,160,0.0003540252827672499,OFF,2048
40,PRUNED,38.139137268066406,2026-02-02T10:46:32.668828,2026-02-02T10:46:41.141134,8.472306,{},0.5233160780843205,117.73750987687887,16,443,320,0.0011373923307366164,OFF,512
41,COMPLETE,0.0,2026-02-02T10:46:41.150702,2026-02-02T10:49:42.587455,181.436753,"{""best_epoch"": 252, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/10-46-41""}",0.6216146668115449,107.25851676995505,16,316,320,0.005924042628074231,OFF,1024
42,PRUNED,0.004818208546688159,2026-02-02T10:49:42.600081,2026-02-02T10:49:51.515869,8.915788,{},0.43055137382055364,105.41281164941098,16,116,320,0.007837920997580497,OFF,1024
43,COMPLETE,0.0,2026-02-02T10:49:51.523805,2026-02-02T10:52:19.728212,148.204407,"{""best_epoch"": 248, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/10-49-51""}",0.6727262867432692,110.14694314440403,16,263,320,0.0048497560027967205,OFF,1024
44,PRUNED,12.67926836013794,2026-02-02T10:52:19.738495,2026-02-02T10:52:33.032892,13.294397,{},0.5835657276808618,33.44086526595536,64,513,160,0.003669914897526421,OFF,1024
45,COMPLETE,0.0,2026-02-02T10:52:33.040635,2026-02-02T10:59:19.919387,406.878752,"{""best_epoch"": 283, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/10-52-33""}",0.6143556229257194,127.76959034238185,16,391,128,0.005572276835045358,OFF,1024
46,PRUNED,0.000858992408029735,2026-02-02T10:59:19.930799,2026-02-02T10:59:32.864530,12.933731,{},0.6742189904631819,100.46345219799016,8,211,256,0.0023187391654296806,OFF,1024
47,PRUNED,1.5497193999181036e-06,2026-02-02T10:59:32.873361,2026-02-02T11:02:21.888397,169.015036,{},0.49172788468448553,122.46084345907528,16,310,320,0.008166867288453315,OFF,2048
48,PRUNED,0.09761505722999572,2026-02-02T11:02:21.897026,2026-02-02T11:02:36.089756,14.19273,{},0.6344769777157335,114.28562871057149,48,278,320,0.007908342148990551,OFF,2048
49,PRUNED,0.006771522139509519,2026-02-02T11:02:36.096638,2026-02-02T11:02:53.356231,17.259593,{},0.5484429851613243,90.23466108812228,16,641,128,0.004159639209325332,OFF,1024
50,PRUNED,22.510737419128418,2026-02-02T11:02:53.365364,2026-02-02T11:03:09.942433,16.577069,{},0.2286022674032343,96.69711036123344,64,539,160,0.006463654744716562,ON,2048
51,COMPLETE,0.0,2026-02-02T11:03:09.952821,2026-02-02T11:08:32.070034,322.117213,"{""best_epoch"": 279, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/11-03-10""}",0.5734608816165401,119.40366815686193,16,351,320,0.004718087826428558,OFF,2048
52,COMPLETE,0.0,2026-02-02T11:08:32.081561,2026-02-02T11:14:09.559201,337.47764,"{""best_epoch"": 212, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/11-08-32""}",0.6735345225281375,110.81281490448248,16,368,320,0.00985694120677139,OFF,2048
53,COMPLETE,0.0,2026-02-02T11:14:09.571003,2026-02-02T11:21:27.265800,437.694797,"{""best_epoch"": 275, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-02/11-14-09""}",0.6001847156203403,122.12882377864017,16,481,320,0.005247434474158845,OFF,2048
54,PRUNED,0.00023661061325886597,2026-02-02T11:21:27.278296,2026-02-02T11:21:44.946795,17.668499,{},0.6511967463050881,117.50201913590087,16,421,512,0.0029199957966125193,OFF,2048
55,PRUNED,1.1300040531144381e-06,2026-02-02T11:21:44.955215,2026-02-02T11:23:26.443742,101.488527,{},0.5390714608840168,105.56364920312393,8,180,320,0.008249624916398015,OFF,512
56,PRUNED,0.17695071101188659,2026-02-02T11:23:26.452233,2026-02-02T11:23:35.464732,9.012499,{},0.682792747960488,99.58269919337874,48,348,512,0.006500640351456962,ON,2048
57,PRUNED,0.004024729815622171,2026-02-02T11:23:35.471580,2026-02-02T11:23:48.228107,12.756527,{},0.6147757359041621,91.86571434912794,16,281,256,0.004340078137091997,ON,2048
58,PRUNED,35.342116292317705,2026-02-02T11:23:48.235420,2026-02-02T11:23:58.709864,10.474444,{},0.3551936269356588,109.38319268915231,16,459,512,0.00014177812961825781,OFF,2048
59,PRUNED,0.001755973417311907,2026-02-02T11:23:58.718273,2026-02-02T11:24:10.695430,11.977157,{},0.6427723042108695,104.09835348278105,16,717,320,0.003239989164568702,ON,2048
60,PRUNED,57.61014862060547,2026-02-02T11:24:10.710696,2026-02-02T11:24:19.655061,8.944365,{},0.5905118416101398,124.73439247231522,48,512,512,0.0018822606267099974,ON,2048
61,PRUNED,1.8020452595616612e-06,2026-02-02T11:24:19.662748,2026-02-02T11:25:42.065902,82.403154,{},0.6251728122865762,107.85874341630189,16,307,320,0.005652843008780708,OFF,1024
