number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_arcface_m,param_arcface_s,param_batch_size,param_epochs,param_hop_length,param_lr,param_mel,param_n_fft
0,COMPLETE,0.004401110485196114,2026-02-12T19:21:57.483883,2026-02-12T19:24:09.366630,131.882747,"{""best_epoch"": 67, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-12/19-21-57""}",0.4606690070459253,113.01172832679273,16,67,128,0.00020511104188433984,OFF,2048
1,COMPLETE,0.12137176642815271,2026-02-12T19:24:09.379619,2026-02-12T19:34:14.986416,605.606797,"{""best_epoch"": 740, ""best_val_acc"": 1.0, ""effective_batch_size"": 16, ""output_dir"": ""./outputs/2026-02-12/19-24-09""}",0.40854066304816694,38.36346360173629,16,788,320,0.000816845589476017,OFF,2048
2,PRUNED,0.08941247736414273,2026-02-12T19:34:15.001681,2026-02-12T19:35:01.040495,46.038814,{},0.28702664565364655,90.20249584764598,8,266,128,0.006586289317583112,OFF,1024
3,COMPLETE,0.04344961419701576,2026-02-12T19:35:01.049278,2026-02-12T19:36:42.552046,101.502768,"{""best_epoch"": 16, ""best_val_acc"": 1.0, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-02-12/19-35-01""}",0.4256176498949491,47.46466508498665,48,363,128,0.004544383960336014,ON,1024
4,PRUNED,6.304631352424622,2026-02-12T19:36:42.564885,2026-02-12T19:36:53.460105,10.89522,{},0.28658939302939734,23.118535232034645,64,337,128,0.0017643967683381545,ON,1024
5,PRUNED,18.89261728922526,2026-02-12T19:36:53.468125,2026-02-12T19:37:01.699567,8.231442,{},0.4051424146988216,51.207869880548586,16,640,128,0.0001155735281626988,OFF,512
6,PRUNED,31.92430830001831,2026-02-12T19:37:01.709138,2026-02-12T19:37:21.094407,19.385269,{},0.2908020849831183,116.36222559143124,64,810,160,0.0011986281799901185,OFF,2048
7,PRUNED,27.76467119852702,2026-02-12T19:37:21.104196,2026-02-12T19:37:28.538299,7.434103,{},0.2510693774952185,123.79409703351646,16,973,160,0.0005336533066379613,OFF,512
8,PRUNED,27.49978542327881,2026-02-12T19:37:28.548750,2026-02-12T19:37:37.648969,9.100219,{},0.3206698796315519,97.56023104452828,32,245,160,0.003336101309469784,ON,1024
9,PRUNED,21.964541625976562,2026-02-12T19:37:37.659203,2026-02-12T19:38:01.033478,23.374275,{},0.18251256648759595,120.91375873851426,48,393,128,0.002409214543666477,OFF,2048
10,PRUNED,34.581313069661455,2026-02-12T19:38:01.042025,2026-02-12T19:38:09.243044,8.201019,{},0.5995772550218667,74.273248301065,8,17,512,0.0001758046894439956,ON,2048
11,PRUNED,26.01521110534668,2026-02-12T19:38:09.252632,2026-02-12T19:38:16.855596,7.602964,{},0.5203857946269717,57.671735138229465,48,42,256,0.0003590031340508673,ON,1024
12,COMPLETE,0.00025352617376483977,2026-02-12T19:38:16.864553,2026-02-12T19:40:42.641252,145.776699,"{""best_epoch"": 55, ""best_val_acc"": 1.0, ""effective_batch_size"": 48, ""output_dir"": ""./outputs/2026-02-12/19-38-16""}",0.5093144270486217,74.03382655440367,48,515,128,0.009906450697881482,ON,2048
